Sumber_Video,Komentar,Nomor,text_clean,Label_Angka,Label_Teks
https://www.tiktok.com/@republikaonline/video/7566532914700176661?q=tarif%20transjakarta%20naik&t=1763731593269,Aaaaa belum siapp😭,1,aaaaa belum siapp,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,AAAAAAAAGGGHHHH,2,aaaaaaaaggghhhh,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,abottttt pak abooootttttttt,3,abottttt abooootttttttt,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,"abrakadabra @🫧vanvanilla✨: Eh bukan masalah ini ""cuma"" 5rb... ini kenaikanya 43%. Yg dimana pengeluaran biaya masyarakat utk transum juga naik 43% hampir setengahnya! Kalo naik transum sekali doang mah gaberasa 5rb. Kalo yg tiap hari? Senin-Jumat PP Yg awalnya cuma 35rb Perminggu jadi naik 50rb. Selisihnya 15rb, perminggu. JANGAN LIAT 5 RIBUANNYA, LIAT KENAIKAN ITUNGAN PERSEN HARGANYA! Gausah ngomongin org yg tiap hari beli kopi bisa, KARENA GAK SEMUA ORG MINUM KOPI TIAP HARI! Kenaikan harusnya bertahap jangan langsng 43%. Kasiannn rakyat yg berganthng transum. Mana semua naik tapi gaji kaga naik. Empati dan observasi dikit jangan generalisir sementang CUMA 5rb doang pretttt 10-27 0 Reply",4,abrakadabra vanvanilla eh bukan masalah cuma rb kenaikanya mana keluar biaya masyarakat transum mahal hampir tengah kalau mahal transum sekali doang gaberasa rb kalau tiap hari senin jumat pp awal cuma rb minggu jadi mahal rb selisih rb minggu jangan liat ribu liat naik itungan persen harga gausah ngomongin org tiap hari beli kopi karena tidak semua org minum kopi tiap hari naik harus tahap jangan langsng kasiannn rakyat berganthng transum mana semua mahal tapi gaji kaga mahal empati observasi dikit jangan generalisir sementang cuma rb doang pretttt reply,-1,Negatif
https://www.tiktok.com/@liputan6.sctv/video/7565790379098836245?q=tarif%20transjakarta&t=1763737147719,adain jeklingko di setiabudi woii 😭,5,adain jeklingko setiabudi woii,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,ADAIN PINANG RANTI - SUMMARECON BEKASI!!!!,6,adain pinang ranti summarecon bekas,-1,Negatif
https://www.tiktok.com/@detikcom/video/7566891464819576080?q=tarif%20transjakarta%20naik&t=1763731593269,"adeenatoo oke lah angkutan umum naik karna inflasi, tapi umr umpnya juga dong... 10-29 0 Reply",7,adeenatoo oke lah angkut umum mahal inflasi tapi umr umpnya dong reply,-1,Negatif
https://www.tiktok.com/@republikaonline/video/7565920229402971399?q=tarif%20transjakarta%20naik&t=1763731593269,Adeknya Sehun naikan gaji kamiii wahai para bosssss 😭 10-27 1 Reply,8,adeknya hun naik gaji kamiii wahai bosssss reply,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,"aduh, bogor aja angkot jauh deket setara tarif sama tj yg mau naik, smsm 5k 😂",9,aduh bogor mikrotrans jauh deket tara harga sama transjakarta mau mahal smsm k,-1,Negatif
https://www.tiktok.com/@rozak.idx/photo/7565037699082554631?q=tarif%20transjakarta&t=1763737147719,aduh jangan dongggggg,10,aduh jangan dongggggg,-1,Negatif
